NumID,PlayerID,birthYear,birthMonth,birthDay,Nationality,nameLast,nameFirst,nameGiven,weight,height,bats,throws,debutYear,debutTeam,Name,Position,SigningBonus,Salary,DraftOrder,DebutYearTeam
1,50007,2001,3,14,Korea,Moon,Sang-Jun,Moon Sang-Jun,176,72,R,R,2022,KT,문상준,Infielder,4000만원,3100만원,20 KT 2차 8라운드 72순위,22KT
2,50030,2001,9,16,Korea,So,Hyeong-Jun,So Hyeong-Jun,203,74,R,R,2020,KT,소형준,Pitcher,36000만원,22000만원,20 KT 1차,20KT
3,50036,2001,12,14,Korea,Lee,Gang-Jun,Lee Gang-Jun,176,71,R,R,2020,KT,이강준,Pitcher,9000만원,3200만원,20 KT 2차 3라운드 22순위,20KT
4,50040,1987,4,4,Cuba,Despaigne,Odrisamer,Despaigne Odrisamer,203,72,R,R,2020,KT,데스파이네,Pitcher,300000달러,700000달러,20 KT 자유선발,20KT
5,50054,1997,10,30,Korea,Cheon,Seong-Ho,Cheon Seong-Ho,187,72,L,R,2020,KT,천성호,Infielder,10000만원,7100만원,20 KT 2차 2라운드 12순위,20KT
6,50066,2001,4,13,Korea,Kang,Hyeon-U,Kang Hyeon-U,198,71,R,R,2020,KT,강현우,Catcher,15000만원,5000만원,20 KT 2차 1라운드 2순위,20KT
7,50092,2001,7,26,Korea,Yoon,Jun-Hyeok,Yoon Jun-Hyeok,190,73,R,R,2020,KT,윤준혁,Infielder,8000만원,3500만원,20 KT 2차 4라운드 32순위,20KT
8,50106,1997,3,7,Korea,Yoo,Yeong-Chan,Yoo Yeong-Chan,198,73,R,R,2023,LG,유영찬,Pitcher,,21000만원,20 LG 2차 5라운드 43순위,23LG
9,50108,2001,8,18,Korea,Ham,Chang-Geon,Ham Chang-Geon,183,69,L,L,2024,LG,함창건,Outfielder,5000만원,3200만원,20 LG 2차 7라운드 63순위,24LG
10,50109,1997,12,22,Korea,Seong,Jae-Heon,Seong Jae-Heon,181,69,L,L,2020,LG,성재헌,Pitcher,4000만원,3600만원,20 LG 2차 8라운드 73순위,20LG
11,50115,1997,10,19,Korea,Kim,Su-In,Kim Su-In,179,70,R,R,2024,LG,김수인,Infielder,,3100만원,20 LG 육성선수,24LG
12,50126,2001,8,30,Korea,Lee,Min-Ho,Lee Min-Ho,205,74,R,R,2020,LG,이민호,Pitcher,30000만원,14000만원,20 LG 1차,20LG
13,50150,1994,8,23,Korea,Son,Ho-Yeong,Son Ho-Yeong,194,72,R,R,2014,Chicago Cubs,손호영,Infielder,,12500만원,20 LG 2차 3라운드 23순위,14시카고컵스
14,50157,2000,4,3,Korea,Kim,Yun-Sik,Kim Yun-Sik,183,71,L,L,2020,LG,김윤식,Pitcher,20000만원,12000만원,20 LG 2차 1라운드 3순위,20LG
15,50165,1994,12,28,Mexico,Ramos,Henry,Ramos Henry,254,76,L,R,2020,LG,라모스,Infielder,200000달러,600000달러,20 LG 자유선발,20LG
16,50167,2001,4,2,Korea,Lee,Ju-Hyeong,Lee Ju-Hyeong,176,71,L,R,2020,LG,이주형,Outfielder,15000만원,11000만원,20 LG 2차 2라운드 13순위,20LG
17,50202,1993,4,19,Japan,An,Kwon-Soo,An Kwon-Soo,176,69,L,R,2020,Doosan,안권수,Outfielder,3000만원,8000만원,20 두산 2차 10라운드 99순위,20두산
18,50203,2000,12,7,Korea,Kwon,Hwi,Kwon Hwi,192,71,R,R,2020,Doosan,권휘,Pitcher,,3700만원,20 두산 육성선수,20두산
19,50204,2000,9,7,Korea,Park,Ji-Hun,Park Ji-Hun,176,72,R,R,2020,Doosan,박지훈,Infielder,6000만원,3240만원,20 두산 2차 5라운드 49순위,20두산
20,50205,1997,11,12,Korea,Park,Ung,Park Ung,227,76,R,R,2021,Doosan,박웅,Pitcher,,3300만원,20 두산 육성선수,21두산
21,50206,2001,5,1,Korea,Choi,Jong-In,Choi Jong-In,185,73,R,R,2024,Doosan,최종인,Pitcher,3000만원,3500만원,20 두산 2차 9라운드 89순위,24두산
22,50208,2001,9,4,Korea,Oh,Myeong-Jin,Oh Myeong-Jin,174,70,L,R,2020,Doosan,오명진,Infielder,5000만원,3100만원,20 두산 2차 6라운드 59순위,20두산
23,50211,2000,9,30,Korea,Je,Hwan-Yu,Je Hwan-Yu,168,72,L,R,2020,Doosan,제환유,Pitcher,10000만원,3000만원,20 두산 2차 2라운드 19순위,20두산
24,50234,1994,7,1,USA,Flexen,Chris,Flexen Chris,249,75,R,R,2020,Doosan,플렉센,Pitcher,143000달러,600000달러,20 두산 자유선발,20두산
25,50244,2001,4,21,Korea,Jang,Gyu-Bin,Jang Gyu-Bin,216,73,R,R,2020,Doosan,장규빈,Catcher,14000만원,3100만원,20 두산 2차 1라운드 9순위,20두산
26,50262,2001,3,26,Korea,Lee,Ju-Yeop,Lee Ju-Yeop,198,74,R,R,2020,Doosan,이주엽,Pitcher,20000만원,3000만원,20 두산 1차,20두산
27,50293,1997,5,25,Korea,Yang,Chan-Yeol,Yang Chan-Yeol,185,70,L,R,2020,Doosan,양찬열,Outfielder,4000만원,4000만원,20 두산 2차 8라운드 79순위,20두산
28,50296,2001,2,12,Korea,Cho,Je-Yeong,Cho Je-Yeong,196,72,R,R,2020,Doosan,조제영,Pitcher,7000만원,3000만원,20 두산 2차 4라운드 39순위,20두산
