playerID,yearID,teamID,stint,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,ERA
50030,2020,KT,1,26,0,0,13,6,0,0,0.684,572,133,141,6,45,6,92,63,57,3.86
50030,2021,KT,1,24,0,0,7,7,0,0,0.5,521,119,123,6,51,4,85,67,55,4.16
50030,2022,KT,1,27,0,0,13,6,0,0,0.684,703,171 1/3,158,8,39,5,117,68,58,3.05
50030,2023,KT,1,3,0,0,0,0,0,0,-,59,11,22,1,3,3,4,14,14,11.45
50030,2024,KT,1,6,0,0,2,0,0,0,1,30,8 1/3,7,1,1,1,3,3,3,3.24
50030,2025,KT,1,8,0,0,3,2,0,0,0.6,193,47 2/3,40,2,14,1,52,16,15,2.83
50036,2020,KT,1,4,0,0,0,0,0,0,-,33,5 2/3,9,1,5,3,3,4,4,6.35
50036,2021,Lotte,1,15,0,0,1,0,0,0,1,48,8 1/3,11,1,13,2,4,11,10,10.8
50036,2022,Lotte,1,13,0,0,0,0,0,1,-,57,9 2/3,9,1,20,0,6,11,11,10.24
50036,2025,Kiwoom,1,16,0,0,0,0,0,1,-,69,14 1/3,19,2,8,2,13,13,9,5.65
50040,2020,KT,1,35,0,0,15,8,0,0,0.652,906,207 2/3,233,18,68,8,152,105,100,4.33
50040,2021,KT,1,33,0,0,13,10,0,0,0.565,819,188 2/3,175,10,78,7,165,81,71,3.39
50040,2022,KT,1,30,0,0,8,12,0,0,0.4,725,163,198,14,48,9,123,94,82,4.53
50106,2023,LG,1,67,0,0,6,3,1,12,0.667,305,68,55,4,40,7,55,27,26,3.44
50106,2024,LG,1,62,0,0,7,5,26,1,0.583,286,63 2/3,61,2,30,3,77,24,21,2.97
50109,2020,LG,1,4,0,0,0,0,0,0,-,20,4 1/3,6,0,1,1,1,2,2,4.15
50109,2024,KT,1,30,0,0,0,0,0,1,-,159,32,46,1,16,5,20,29,26,7.31
50126,2020,LG,1,20,0,0,4,4,0,0,0.5,434,97 2/3,94,5,44,10,67,46,40,3.69
50126,2021,LG,1,25,0,0,8,9,0,0,0.471,477,115,89,13,45,14,100,58,55,4.3
50126,2022,LG,1,26,0,0,12,8,0,0,0.6,540,119 1/3,146,14,43,7,73,77,73,5.51
