SearchID,yearID,stint,lgID,teamID,POS,G,PO,A,E,DP,PB,WP,FP,RF,RRF,rRng,rErr,rWP,rPB,rCth,rDP,rArm,FS
100001,1936.1S,1,JBL,Kyojin,2B,2,,,,,,,,,0,0,0,,,,0,,0
100001,1936.1S,1,JBL,Kyojin,OF,2,,,,,,,,,0,0,0,,,,,0,0
100001,1936.2F,1,JBL,Kyojin,OF,14,13,2,1,1,,,0.938,1.07,-0.5,-0.1,-0.1,,,,,1.1,0.9
100001,1937.1S,1,JBL,Kyojin,OF,14,4,0,0,0,,,1,0.29,-1.8,-0.3,0,,,,,-0.3,-0.6
100001,1937.2F,1,JBL,Kyojin,OF,18,27,1,0,0,,,1,1.56,0.2,1,0.2,,,,,-0.4,0.8
100001,1939,1,JBL,Kyojin,OF,2,1,0,0,0,,,1,0.5,0.1,0,0,,,,,0,0
100001,1940,1,JBL,Kyojin,OF,3,4,0,0,0,,,1,1.33,1.5,0.4,0,,,,,-0.1,0.4
100001,1941,1,JBL,Kyojin,OF,1,1,0,0,0,,,1,1,0.3,0.1,0,,,,,0,0
100002,1941,1,JBL,Kyojin,1B,15,29,0,1,6,,,0.967,1.93,-1.3,-0.6,-0.1,,,,0.1,,-0.6
100002,1942,1,JBL,Kyojin,1B,30,193,4,1,10,,,0.995,6.57,3.9,1.8,0.1,,,,-0.1,,1.7
100002,1943,1,JBL,Kyojin,1B,43,225,8,1,22,,,0.996,5.42,6.1,2.5,0.2,,,,0.1,,2.7
100002,1942,1,JBL,Kyojin,C,3,6,0,0,0,0,,1,2,0,,0,,0,-0.1,,,0
100002,1940,1,JBL,Kyojin,2B,3,2,2,0,0,,,1,1.33,0.3,0.2,0,,,,-0.1,,0.1
100002,1940,1,JBL,Kyojin,1B,22,67,2,1,6,,,0.986,3.14,1.1,0.4,0,,,,0,,0.4
100002,1938.2F,1,JBL,Kyojin,1B,8,31,2,1,1,,,0.971,4.13,1.9,0.4,0,,,,0,,0.3
100002,1939,1,JBL,Kyojin,C,4,20,0,0,0,3,,1,5,-0.7,,0.2,,-0.8,-0.5,,,-1.1
100002,1938.1S,1,JBL,Kyojin,1B,35,337,11,1,22,,,0.997,9.94,12.1,6.7,0.6,,,,-0.2,,7.1
100002,1937.2F,1,JBL,Kyojin,1B,47,446,15,4,29,,,0.991,9.81,11.8,6.2,0.6,,,,-0.3,,6.5
100002,1937.1S,1,JBL,Kyojin,1B,48,402,19,2,29,,,0.995,8.77,17.8,9.2,0.8,,,,-0.1,,9.9
100002,1936.2F,1,JBL,Kyojin,1B,14,105,6,1,3,,,0.991,7.93,2.4,1.4,0.2,,,,-0.1,,1.5
100002,1936.1S,1,JBL,Kyojin,1B,5,,,,,,,,,0,0,0,,,,0,,0
100002,1939,1,JBL,Kyojin,1B,40,206,6,5,20,,,0.977,5.3,1.1,-0.3,-0.2,,,,0,,-0.5
100003,1938.1S,1,JBL,Eagles,1B,9,58,3,3,5,,,0.953,6.78,-1,-0.9,-0.2,,,,0,,-1.1
100003,1938.2F,1,JBL,Eagles,OF,4,2,1,1,0,,,0.75,0.75,-1.7,-0.8,-0.2,,,,,0.8,-0.2
100003,1938.2F,1,JBL,Eagles,1B,17,166,1,3,16,,,0.982,9.82,-5.4,-1.4,0,,,,0.1,,-1.4
100003,1938.1S,1,JBL,Eagles,OF,9,4,0,0,0,,,1,0.44,-2.6,-0.5,0,,,,,-0.3,-0.8
100003,1937.2F,1,JBL,Senators,OF,25,38,7,3,2,,,0.938,1.8,-6,-3.1,-0.3,,,,,4.1,0.7
100003,1936.1S,1,JBL,Senators,OF,10,,,,,,,,,0,0,0,,,,,0,0
100003,1937.1S,1,JBL,Senators,OF,41,47,2,1,1,,,0.98,1.2,-14.6,-3.8,0.1,,,,,-1.8,-5.6
100003,1937.1S,1,JBL,Senators,1B,2,2,0,0,0,,,1,1,-0.1,0,0,,,,0,,0
100003,1936.2F,1,JBL,Senators,OF,24,46,3,1,1,,,0.98,2.04,3.5,-1,0.2,,,,,0.1,-0.7
100003,1936.2F,1,JBL,Senators,1B,2,14,0,0,3,,,1,7,-0.3,0,0,,,,0,,0.1
100003,1936.1S,1,JBL,Senators,1B,5,,,,,,,,,0,0,0,,,,0,,0
100003,1937.2F,1,JBL,Senators,1B,2,3,0,1,1,,,0.75,1.5,-0.2,-0.4,-0.1,,,,0,,-0.5
100004,1938.1S,1,JBL,Nagoya,OF,1,0,0,0,0,,,,0,-0.2,-0.1,0,,,,,0,-0.1
100004,1938.1S,1,JBL,Nagoya,1B,1,7,0,0,0,,,1,7,-0.3,0,0,,,,0,,0
100004,1938.1S,1,JBL,Nagoya,P,3,2,2,1,0,,2,0.8,1.33,-0.5,-0.4,-0.1,-0.5,,,,,-1.1
100004,1937.2F,1,JBL,Nagoya,P,13,2,9,1,0,,4,0.917,0.85,-4.6,-1.5,-0.1,-0.9,,,,,-2.5
100004,1937.1S,1,JBL,Nagoya,P,24,4,44,2,2,,4,0.96,2,0.2,-0.4,0.1,-0.5,,,,,-0.8
100004,1936.1S,1,JBL,Kinko,P,2,,,,,,0,,,,0,0,0.1,,,,,0.1
100004,1938.1S,1,JBL,Nagoya,C,2,7,1,1,1,1,,0.889,4,0,,-0.2,,-0.2,0.1,,,-0.4
100005,1938.2F,1,JBL,Hankyu,OF,25,49,4,0,1,,,1,2.12,-2.7,0.8,0.3,,,,,1.7,2.8
100005,1941,1,JBL,Hanshin,OF,27,64,3,0,1,,,1,2.48,-1.2,-0.8,0.3,,,,,0.2,-0.3
100005,1940,1,JBL,Hanshin,OF,98,214,6,5,2,,,0.978,2.24,23.5,2.9,0.1,,,,,-2,0.9
100005,1939,1,JBL,Osaka,OF,96,245,5,2,3,,,0.992,2.6,33.3,9.7,1,,,,,-4.4,6.3
100005,1938.1S,1,JBL,Hankyu,OF,31,100,4,0,3,,,1,3.35,16.9,8.6,0.8,,,,,1.1,10.5
100005,1937.2F,1,JBL,Hankyu,OF,41,86,6,1,1,,,0.989,2.24,1.4,0.6,0.5,,,,,1.9,2.9
100005,1937.2F,1,JBL,Hankyu,2B,3,2,3,1,2,,,0.833,1.67,-2.5,-1,-0.1,,,,0.3,,-0.8
100005,1937.1S,1,JBL,Hankyu,OF,22,48,2,0,0,,,1,2.27,3.7,2.3,0.3,,,,,0.1,2.7
