ID,npbjpID,playerID,birthYear,birthMonth,birthDay,birthPlace,nameLast,nameFirst,height,weight,bats,throws,Position
1,,100001,1902,3,8,Japan,Yamamoto,Eiichiro,62,128,R,R,Right fielder
2,,100002,1904,9,13,Japan,Nagasawa,Fujio,68,165,R,R,First baseman
3,,100003,1906,3,10,Japan,Onuki,Ken,66,123,R,R,Left fielder
4,,100004,1907,1,1,China,Kinoshita,Hiroki,69,150,R,R,Pitcher
5,,100005,1907,3,15,United States,Horio,Fumihito,70,157,S,R,Center fielder
6,,100006,1907,3,20,Japan,Yamashita,Minoru,68,172,L,L,First baseman
7,,100007,1907,5,14,Japan,Ito,Katsuzo,64,117,R,R,First baseman
8,,100008,1907,7,23,Japan,Miyatake,Saburo,67,165,R,R,First baseman
9,,100009,1907,10,28,Japan,Kuroda,Kengo,66,132,R,R,Third baseman
10,,100010,1908,2,19,United States,Takahashi,Yoshio,67,157,R,R,Second baseman
11,,100011,1908,3,1,United States,Wakabayashi,Tadashi,69,172,R,R,Pitcher
12,,100012,1908,3,8,Japan,Masu,Kaichi,67,132,R,R,Center fielder
13,,100013,1908,6,21,Japan,Shima,Hidenosuke,64,132,R,R,Center fielder
14,,100014,1908,9,6,Japan,Tsuda,Shiro,64,137,R,R,Third baseman
15,,100015,1908,9,25,United States,Harris,Bucky,0,0,R,R,Catcher
16,,100016,1909,1,22,Japan,Matsuki,Kenjiro,68,172,L,L,First baseman
17,,100017,1909,6,28,Japan,Nakajima,Haruyasu,69,161,R,R,Right fielder
18,,100018,1910,1,12,United States,North,Herbert,71,0,R,R,Pitcher
19,,100019,1910,1,19,Japan,Karita,Hisanori,67,146,R,R,Second baseman
20,,100020,1910,1,20,Japan,Nakamura,Teruo,67,141,L,R,Catcher
21,,100021,1910,2,11,United States,Matsuura,Kazuyoshi,0,0,R,R,Pitcher
22,,100022,1910,5,14,Japan,Kimata,Takeo,64,128,R,R,Left fielder
23,,100023,1910,6,10,Japan,Aoki,Kozo,67,141,R,R,Left fielder
24,,100024,1910,9,1,Japan,Mizutani,Norikazu,64,150,R,R,Right fielder
25,,100025,1910,9,21,Japan,Nakane,Susumu,67,132,L,R,Right fielder
26,,100026,1910,10,14,Japan,Kura,Nobuo,67,123,R,R,Catcher
27,,100027,1911,1,1,Japan,Ogawa,Toshiyasu,66,161,R,R,Catcher
28,,100028,1911,4,25,Japan,Kawamura,Tokuhisa,65,141,R,R,Third baseman
29,,100029,1911,5,14,Japan,Furuya,Kuranosuke,67,132,R,R,Pitcher
30,,100030,1911,6,7,Japan,Murakawa,Yukinobu,65,132,R,R,Catcher
31,,100031,1911,7,10,Japan,Nomura,Minoru,64,123,R,R,Second baseman
32,,100032,1911,7,19,Japan,Hiramasu,Toshio,66,132,R,R,Center fielder
33,,100033,1911,9,2,Japan,Takeda,Sukekazu,0,0,R,R,Pinch Hitter
34,,100034,1912,1,3,United States,Hirakawa,Kiyomi,72,150,R,R,Pitcher
35,,100035,1912,4,1,Japan,Maekawa,Hachiro,67,132,R,R,Pitcher
36,,100036,1912,4,17,Japan,Yamashita,Koichi,69,157,R,R,Left fielder
37,,100037,1912,4,20,Japan,Maeda,Kiyoshi,0,0,R,R,Left fielder
38,,100038,1912,8,13,Japan,Goto,Tadashi,68,141,R,R,First baseman
39,,100039,1912,9,1,Japan,Nishimura,Masao,64,123,L,L,Right fielder
40,,100040,1912,9,1,Japan,Aoshiba,Kenichi,68,141,R,R,Pitcher
41,,100041,1913,1,27,Taiwan,Yokozawa,Shichiro,69,141,R,R,Third baseman
42,,100042,1913,1,31,Japan,Hatafuku,Toshihide,70,165,R,R,Pitcher
43,,100043,1913,2,11,Japan,Takatani,Shoji,0,0,R,R,Center fielder
44,,100044,1913,2,11,Japan,Watanabe,Toshio,66,132,R,R,Second baseman
45,,100045,1913,2,22,Japan,Nakamura,Shinichi,63,123,R,R,Third baseman
46,,100046,1913,6,9,Japan,Kuramoto,Shingo,66,123,R,R,Third baseman
47,,100047,1913,8,7,Japan,Kitai,Masao,0,0,R,R,Pitcher
48,,100048,1914,1,17,Japan,Ishihara,Shigezo,72,159,R,R,Pitcher
49,,100049,1914,1,20,Japan,Niwa,Toshio,0,0,R,R,Pitcher
50,,100050,1914,2,8,Japan,Sakurai,Shozo,0,0,L,L,Pitcher
51,,100051,1914,2,8,Japan,Asaoka,Saburo,66,123,R,R,Pitcher
52,,100052,1914,4,29,Japan,Takahashi,Teruhiko,0,0,R,R,Third baseman
53,,100053,1914,6,10,Japan,Kurosawa,Toshio,68,150,L,L,Left fielder
54,,100054,1914,6,27,Japan,Kitaura,Mitsuo,64,132,R,R,Catcher
55,,100055,1914,8,28,Japan,Hirota,Shuzo,66,150,R,R,First baseman
56,,100056,1914,9,9,Japan,Kaneko,Hiroshi,67,132,L,L,Pitcher
57,,100057,1915,3,22,Japan,Nonin,Wataru,66,123,R,R,Shortstop
58,,100058,1915,4,4,Japan,Eguchi,Yukio,66,132,R,R,Second baseman
59,,100059,1915,4,6,Japan,Watanuki,Soji,69,141,R,R,First baseman
60,,100060,1915,5,22,Japan,Ikeda,Junzo,67,132,R,R,Shortstop
61,,100061,1915,6,1,Japan,Toda,Kazumasa,0,0,,,Left fielder
62,,100062,1915,7,20,Japan,Kageura,Masaru,68,165,,,Right fielder
63,,100063,1915,8,31,Japan,Kikuya,Yoshio,67,157,,,Pitcher
64,,100064,1915,10,1,Japan,Yamada,Katsusaburo,66,141,,,Pitcher
65,,100065,1915,10,25,Japan,Ishida,Mitsuhiko,68,132,,,Pitcher
66,,100066,1915,10,31,Japan,Hayashi,Seiichi,68,148,,,Center fielder
67,,100067,1915,11,6,Japan,Iwata,Tsuguo,67,150,,,Third baseman
68,,100068,1916,1,5,Japan,Yasunaga,Seishiro,0,0,,,First baseman
69,,100069,1916,1,16,Japan,Misono,Takao,67,157,,,Pitcher
70,,100070,1916,1,28,Japan,Matsumoto,Kozaburo,0,0,,,Catcher
71,,100071,1916,3,10,Japan,Sei,Kiyoshi,67,132,,,Shortstop
72,,100072,1916,3,25,Japan,Naito,Kozo,68,143,,,Pitcher
73,,100073,1916,4,8,Japan,Asahara,Naoto,68,157,,,First baseman
74,,100074,1916,5,1,Russia,Starfin,Victor,75,198,,,Pitcher
75,,100075,1916,5,5,Japan,Yamaguchi,Masanobu,70,150,,,Center fielder
76,,100076,1916,5,17,Japan,Nakayama,Takeshi,68,141,,,Catcher
77,,100077,1916,5,27,Japan,Tsutsui,Yoshitake,68,150,,,Catcher
78,,100078,1916,8,14,Japan,Fujimura,Fumio,68,172,,,Third baseman
79,,100079,1916,8,31,Japan,Hidaka,Tokuyuki,0,0,,,Left fielder
80,,100080,1916,9,6,Taiwan,Urushibara,Susumu,67,150,,,Third baseman
81,,100081,1916,9,16,Japan,Otomo,Kazuaki,64,121,,,Second baseman
82,,100082,1916,9,28,Japan,Yamazaki,Fumikazu,0,0,,,Right fielder
83,,100083,1916,10,20,Japan,Fujii,Isamu,68,157,,,Left fielder
84,,100084,1916,10,21,Japan,Sato,Takeo,67,132,,,Catcher
85,,100085,1916,11,1,,Mikami,Yoshio,0,0,,,Right fielder
86,,100086,1916,11,15,Japan,Yamamoto,Hisatoshi,66,123,,,Shortstop
87,,100087,1916,12,28,Japan,Ito,Kentaro,66,157,,,Left fielder
88,,100088,1917,1,5,Japan,Iemura,Sotaro,67,150,,,Right fielder
89,,100089,1917,1,5,Japan,Katayama,Eiji,67,123,,,Pitcher
90,,100090,1917,2,1,Japan,Sawamura,Eiji,68,157,,,Pitcher
91,,100091,1917,2,20,Japan,Nakamura,Kazuo,0,0,,,Third baseman
92,,100092,1917,3,12,Japan,Okada,Muneyoshi,64,123,,,Shortstop
93,,100093,1917,3,12,Japan,Uchibori,Tamotsu,67,141,,,Catcher
94,,100094,1917,4,2,Japan,Kato,Nobuo,63,123,,,Pinch Hitter
95,,100095,1917,4,25,Japan,Kito,Kazuo,66,132,,,Left fielder
96,,100096,1917,4,29,Japan,Igaue,Ryohei,66,143,,,Third baseman
97,,100097,1917,5,15,Japan,Monzen,Masato,68,150,,,Catcher
98,,100098,1917,5,25,Japan,Uno,Kinji,67,150,,,Second baseman
99,,100099,1917,8,6,Japan,Noguchi,Akira,68,150,,,Pitcher
100,,100100,1917,9,20,Japan,Endo,Chujiro,68,150,,,Pitcher
101,,100101,1917,10,12,Japan,Tsutsui,Osamu,68,141,,,Second baseman
102,,100102,1917,10,19,Japan,Sato,Kikuo,0,0,,,Left fielder
103,,100103,1917,10,22,Japan,Maruo,Chitoji,70,150,,,Pitcher
104,,100104,1917,11,15,Japan,Makino,Kiyoshi,0,0,,,Pitcher
105,,100105,1918,2,13,Japan,Imaoka,Kenjiro,67,132,,,Shortstop
106,,100106,1918,4,15,Japan,Shiraishi,Toshio,66,150,,,Shortstop
107,,100107,1918,5,23,Japan,Hattori,Kazuo,69,141,,,Right fielder
108,,100108,1918,7,6,Japan,Ban,Yoshio,64,130,,,Pinch Hitter
109,,100109,1918,7,19,Japan,Kondo,Hisashi,67,141,,,Pitcher
110,,100110,1918,10,9,Japan,Suzuki,Hideo,67,137,,,Catcher
111,,100111,1918,11,4,Japan,Sakurai,Shichinosuke,67,141,,,Pitcher
